,School_ID,NAME_OF_SCHOOL,ZIP_Code,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,Parent_Engagement_Icon,Parent_Engagement_Score,AVERAGE_STUDENT_ATTENDANCE,Rate_of_Misconducts__per_100_students_,Average_Teacher_Attendance,Graduation_Rate__,College_Enrollment_Rate__,COMMUNITY_AREA_NUMBER_S,COMMUNITY_AREA_NAME,CA,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16__UNEMPLOYED,PERCENT_AGED_25__WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME,HARDSHIP_INDEX,ARRESTED_CASES,COMMUNITY_AREA_NUMBER
180,610273,Ignance Paderewski Elementary Learning Academy,60623,ES,No,Weak,31.0,Strong,63.0,Very Strong,98.0,Weak,NDA,NDA,NDA,Weak,46,92.10%,20.9,95.20%,NDA,NDA,30,SOUTH LAWNDALE,30,15.2,30.7,15.8,54.8,33.8,10402,96,1.0,30
181,610384,Infinity Math Science and Technology High School,60623,HS,No,Average,58.0,Strong,66.0,Strong,65.0,Weak,NDA,NDA,NDA,Average,51,92.20%,7.5,96.00%,84.4,55.7,30,SOUTH LAWNDALE,30,15.2,30.7,15.8,54.8,33.8,10402,96,1.0,30
182,610078,Inter-American Elementary Magnet School,60613,ES,No,Strong,67.0,Average,50.0,Average,51.0,Weak,NDA,NDA,NDA,Average,51,96.20%,3.0,96.20%,NDA,NDA,6,LAKE VIEW,6,1.1,11.4,4.7,2.6,17.0,60058,5,3.0,6
183,609848,Ira F Aldridge Elementary School,60827,ES,No,Weak,39.0,Weak,36.0,Weak,39.0,Weak,NDA,NDA,NDA,Average,49,92.90%,49.0,96.30%,NDA,NDA,54,RIVERDALE,54,5.8,56.5,34.6,27.5,51.5,8201,98,1.0,54
184,610532,Irene C. Hernandez Middle School for the Advancement of Science,60632,MS,No,Weak,34.0,Weak,27.0,Weak,27.0,Weak,28,Weak,27,NDA,NDA,95.50%,14.8,96.20%,NDA,NDA,63,GAGE PARK,63,15.8,23.4,18.2,51.5,38.8,12171,93,1.0,63
185,610125,Irma C Ruiz Elementary School,60608,ES,Yes,Average,57.0,Average,57.0,Strong,62.0,Weak,51,Average,56,Average,50,95.50%,15.9,95.00%,NDA,NDA,31,LOWER WEST SIDE,31,9.6,25.8,15.8,40.7,32.6,16444,76,3.0,31
186,610276,Irvin C Mollison Elementary School,60653,ES,No,Average,44.0,Average,46.0,Weak,38.0,Weak,NDA,NDA,NDA,Average,52,91.10%,36.1,94.30%,NDA,NDA,38,GRAND BOULEVARD,38,3.3,29.3,24.3,15.9,39.5,23472,57,2.0,38
187,610103,Isabelle C O'Keeffe Elementary School,60649,ES,No,Very Weak,17.0,Weak,28.0,Weak,29.0,Weak,NDA,NDA,NDA,Weak,40,92.10%,24.6,94.60%,NDA,NDA,43,SOUTH SHORE,43,2.8,31.1,20.0,14.0,35.7,19398,55,2.0,43
188,609797,Jacob Beidler Elementary School,60612,ES,No,Strong,63.0,Strong,70.0,Average,58.0,Weak,NDA,NDA,NDA,NDA,NDA,95.40%,0.7,96.60%,NDA,NDA,27,EAST GARFIELD PARK,27,8.2,42.4,19.6,21.3,43.2,12961,83,3.0,27
189,609766,Jacqueline B Vaughn Occupational High School,60641,HS,No,Average,57.0,Weak,33.0,Weak,20.0,Weak,67,Strong,69,Strong,63,87.60%,3.7,95.50%,65.3,NDA,15,PORTAGE PARK,15,4.1,11.6,12.6,19.3,34.0,24336,35,1.0,15
190,610070,James B McPherson Elementary School,60640,ES,No,Strong,71.0,Average,48.0,Weak,38.0,Weak,NDA,NDA,NDA,Average,52,96.50%,1.2,96.30%,NDA,NDA,4,LINCOLN SQUARE,4,3.4,10.9,8.2,13.4,25.5,37524,17,1.0,4
191,610066,James E McDade Elementary Classical School,60619,ES,No,Very Strong,99.0,Average,57.0,Average,52.0,Weak,NDA,NDA,NDA,Strong,61,96.20%,0.0,94.30%,NDA,NDA,44,CHATHAM,44,3.3,27.8,24.0,14.5,40.3,18881,60,1.0,44
192,609803,James G Blaine Elementary School,60613,ES,No,Very Strong,99.0,Strong,76.0,Strong,74.0,Weak,NDA,NDA,NDA,Weak,40,96.40%,2.1,96.00%,NDA,NDA,6,LAKE VIEW,6,1.1,11.4,4.7,2.6,17.0,60058,5,3.0,6
193,609983,James Hedges Elementary School,60609,ES,No,Weak,22.0,Weak,22.0,Weak,24.0,Weak,NDA,NDA,NDA,Weak,41,95.40%,48.8,96.50%,NDA,NDA,61,NEW CITY,61,11.9,29.0,23.0,41.5,38.9,12765,91,4.0,61
194,610047,James Madison Elementary School,60619,ES,No,Weak,39.0,Weak,32.0,Weak,28.0,Weak,NDA,NDA,NDA,NDA,NDA,94.90%,12.4,97.70%,NDA,NDA,43,SOUTH SHORE,43,2.8,31.1,20.0,14.0,35.7,19398,55,2.0,43
195,610074,James Monroe Elementary School,60647,ES,No,Average,45.0,Weak,26.0,Weak,22.0,Weak,NDA,NDA,NDA,Average,47,95.10%,22.1,95.80%,NDA,NDA,22,LOGAN SQUARE,22,3.2,16.8,8.2,14.8,26.2,31908,23,2.0,22
196,610200,James N Thorp Elementary School,60617,ES,No,Weak,32.0,Weak,39.0,Weak,39.0,Weak,NDA,NDA,NDA,NDA,NDA,91.80%,45.4,95.90%,NDA,NDA,46,SOUTH CHICAGO,46,4.7,29.8,19.7,26.6,41.1,16579,75,3.0,46
197,610107,James Otis Elementary School,60622,ES,No,Very Strong,83.0,Strong,67.0,Average,58.0,Weak,92,Very Strong,94,Strong,54,95.50%,3.2,96.50%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
198,609891,James R Doolittle Jr Elementary School,60616,ES,No,Weak,30.0,Weak,25.0,Average,46.0,Weak,NDA,NDA,NDA,Weak,44,91.40%,134.8,94.70%,NDA,NDA,35,DOUGLAS,35,1.8,29.6,18.2,14.3,30.7,23791,47,3.0,35
199,610044,James Russell Lowell Elementary School,60651,ES,No,Weak,39.0,Weak,39.0,Average,40.0,Weak,NDA,NDA,NDA,Weak,45,93.20%,11.2,95.70%,NDA,NDA,23,HUMBOLDT PARK,23,14.8,33.9,17.3,35.4,38.0,13781,85,7.0,23
200,610174,James Shields Elementary School,60632,ES,No,Weak,38.0,Average,57.0,Average,58.0,Weak,NDA,NDA,NDA,Average,50,97.00%,13.9,97.00%,NDA,NDA,58,BRIGHTON PARK,58,14.4,23.6,13.9,45.1,39.3,13089,84,4.0,58
201,610213,James Wadsworth Elementary School,60637,ES,No,NDA,,NDA,,NDA,,Weak,NDA,NDA,NDA,Average,47,92.20%,8.0,95.50%,NDA,NDA,42,WOODLAWN,42,2.9,30.7,23.4,16.5,36.1,18672,58,4.0,42
202,610274,James Weldon Johnson Elementary School,60623,ES,No,Strong,67.0,Strong,61.0,Strong,75.0,Weak,63,Strong,66,Average,51,94.70%,1.4,97.50%,NDA,NDA,29,NORTH LAWNDALE,29,7.4,43.1,21.2,27.6,42.7,12034,87,6.0,29
203,610093,Jane A Neil Elementary School,60619,ES,No,Average,42.0,Weak,27.0,Weak,28.0,Weak,40,Weak,36,Average,52,88.90%,5.0,94.60%,NDA,NDA,44,CHATHAM,44,3.3,27.8,24.0,14.5,40.3,18881,60,1.0,44
204,610031,Jean D Lafayette Elementary School,60622,ES,No,Average,44.0,Average,43.0,Weak,38.0,Weak,80,Strong,72,Average,52,94.10%,14.3,96.30%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
205,610271,Jensen Elementary Scholastic Academy,60612,ES,No,Weak,35.0,Average,42.0,Strong,67.0,Weak,43,Average,40,Weak,46,93.10%,17.2,95.30%,NDA,NDA,27,EAST GARFIELD PARK,27,8.2,42.4,19.6,21.3,43.2,12961,83,3.0,27
206,609932,Jesse Owens Elementary Community Academy,60628,ES,No,NDA,,NDA,,NDA,,Weak,NDA,NDA,NDA,Average,51,91.30%,4.9,93.50%,NDA,NDA,53,WEST PULLMAN,53,3.3,25.9,19.4,20.5,42.1,16563,62,1.0,53
207,610173,Jesse Sherwood Elementary School,60621,ES,No,Weak,38.0,Average,47.0,Average,58.0,Weak,NDA,NDA,NDA,Average,51,92.00%,3.9,95.50%,NDA,NDA,68,ENGLEWOOD,68,3.8,46.6,28.0,28.5,42.5,11888,94,4.0,68
208,609942,Johann W von Goethe Elementary School,60647,ES,No,Strong,75.0,Strong,68.0,Average,52.0,Weak,62,Strong,69,Strong,57,95.80%,5.6,97.00%,NDA,NDA,22,LOGAN SQUARE,22,3.2,16.8,8.2,14.8,26.2,31908,23,2.0,22
209,610216,John A Walsh Elementary School,60608,ES,Yes,Strong,60.0,Strong,70.0,Very Strong,91.0,Weak,NDA,NDA,NDA,Average,48,95.10%,2.9,95.30%,NDA,NDA,31,LOWER WEST SIDE,31,9.6,25.8,15.8,40.7,32.6,16444,76,3.0,31
210,609789,John Barry Elementary School,60641,ES,No,Weak,35.0,Strong,70.0,Very Strong,81.0,Weak,34,Average,41,Average,51,95.10%,5.6,96.10%,NDA,NDA,20,HERMOSA,20,6.9,20.5,13.1,41.6,36.4,15089,71,1.0,20
211,609894,John B Drake Elementary School,60616,ES,No,Average,59.0,Average,57.0,Average,46.0,Weak,43,Very Weak,16,Average,50,93.80%,43.3,95.90%,NDA,NDA,35,DOUGLAS,35,1.8,29.6,18.2,14.3,30.7,23791,47,3.0,35
212,610089,John B Murphy Elementary School,60618,ES,No,Very Strong,80.0,Strong,75.0,Average,59.0,Weak,NDA,NDA,NDA,Strong,58,95.60%,1.9,96.30%,NDA,NDA,16,IRVING PARK,16,6.3,13.1,10.0,22.4,31.6,27249,34,1.0,16
213,610243,John Calhoun North Elementary School,60612,ES,No,Average,52.0,Average,44.0,Average,54.0,Weak,79,Very Strong,88,Weak,43,95.90%,4.6,96.50%,NDA,NDA,27,EAST GARFIELD PARK,27,8.2,42.4,19.6,21.3,43.2,12961,83,3.0,27
214,609829,John C Burroughs Elementary School,60632,ES,Yes,Average,50.0,Weak,39.0,Weak,38.0,Weak,71,Average,53,Average,50,95.60%,0.2,96.10%,NDA,NDA,58,BRIGHTON PARK,58,14.4,23.6,13.9,45.1,39.3,13089,84,4.0,58
215,609866,John C Coonley Elementary School,60618,ES,No,Very Strong,87.0,Strong,65.0,Weak,39.0,Weak,65,Average,56,Strong,58,95.90%,1.4,96.50%,NDA,NDA,5,NORTH CENTER,5,0.3,7.5,5.2,4.5,26.2,57123,6,2.0,5
216,609898,John F Eberhart Elementary School,60629,ES,No,Average,42.0,Weak,33.0,Weak,34.0,Weak,42,Weak,32,NDA,NDA,95.30%,13.1,95.60%,NDA,NDA,66,CHICAGO LAWN,66,7.6,27.9,17.1,31.2,40.6,13231,80,6.0,66
217,609919,John Fiske Elementary School,60637,ES,No,Very Weak,13.0,Weak,37.0,Average,55.0,Weak,40,Weak,35,Average,47,92.90%,37.1,91.70%,NDA,NDA,42,WOODLAWN,42,2.9,30.7,23.4,16.5,36.1,18672,58,4.0,42
218,609718,John F Kennedy High School,60638,HS,No,Average,53.0,Weak,32.0,Weak,27.0,Weak,22,Weak,24,NDA,NDA,83.00%,22.0,94.70%,53.3,52.9,56,GARFIELD RIDGE,56,2.6,8.8,11.3,19.3,38.1,26353,32,1.0,56
219,610263,John Foster Dulles Elementary School,60637,ES,No,Average,42.0,Average,53.0,Average,42.0,Weak,32,Weak,21,Average,51,94.10%,28.2,97.30%,NDA,NDA,69,GREATER GRAND CROSSING,69,3.6,29.6,23.0,16.5,41.0,17285,66,4.0,69
220,610228,John Greenleaf Whittier Elementary School,60608,ES,No,Strong,65.0,Average,45.0,Weak,24.0,Weak,NDA,NDA,NDA,NDA,NDA,94.90%,3.8,96.50%,NDA,NDA,31,LOWER WEST SIDE,31,9.6,25.8,15.8,40.7,32.6,16444,76,3.0,31
221,609694,John Hancock College Preparatory High School,60629,HS,No,Average,51.0,Average,44.0,Average,41.0,Weak,37,Average,42,Average,50,78.20%,7.5,95.90%,56.1,45.9,62,WEST ELSDON,62,11.1,15.6,16.7,37.0,37.7,15754,69,1.0,62
222,609971,John Harvard Elementary School of Excellence,60620,ES,No,Average,51.0,Strong,61.0,Strong,61.0,Weak,43,Weak,36,Average,47,93.00%,8.7,96.00%,NDA,NDA,69,GREATER GRAND CROSSING,69,3.6,29.6,23.0,16.5,41.0,17285,66,4.0,69
223,609975,John Hay Elementary Community Academy,60651,ES,No,Average,44.0,Average,49.0,Strong,61.0,Weak,NDA,NDA,NDA,Average,52,92.90%,30.8,97.10%,NDA,NDA,25,AUSTIN,25,6.3,28.6,22.6,24.4,37.9,15957,73,11.0,25
224,609964,John H Hamline Elementary School,60609,ES,No,Weak,33.0,Weak,29.0,Average,43.0,Weak,17,Weak,33,Weak,44,94.40%,7.5,95.70%,NDA,NDA,61,NEW CITY,61,11.9,29.0,23.0,41.5,38.9,12765,91,4.0,61
225,610026,John H Kinzie Elementary School,60638,ES,No,Strong,64.0,Average,49.0,Average,54.0,Weak,NDA,NDA,NDA,Average,50,95.40%,14.9,95.30%,NDA,NDA,56,GARFIELD RIDGE,56,2.6,8.8,11.3,19.3,38.1,26353,32,1.0,56
226,609782,John J Audubon Elementary School,60618,ES,No,Very Strong,95.0,Strong,75.0,Strong,60.0,Weak,60,Strong,65,Strong,61,96.20%,4.5,96.70%,NDA,NDA,5,NORTH CENTER,5,0.3,7.5,5.2,4.5,26.2,57123,6,2.0,5
227,610126,John J Pershing Elementary Humanities Magnet,60616,ES,No,NDA,,NDA,,NDA,,Weak,70,Strong,78,NDA,NDA,95.50%,19.2,96.70%,NDA,NDA,35,DOUGLAS,35,1.8,29.6,18.2,14.3,30.7,23791,47,3.0,35
228,610054,John L Marsh Elementary School,60617,ES,No,Strong,72.0,Average,53.0,Weak,39.0,Weak,55,Average,48,Average,50,95.70%,5.4,95.50%,NDA,NDA,51,SOUTH DEERING,51,4.0,29.2,16.3,21.0,39.5,14685,65,2.0,51
229,609723,John Marshall Metropolitan High School,60624,HS,No,Average,51.0,Average,45.0,Average,46.0,Weak,49,Average,42,NDA,NDA,74.10%,42.9,95.80%,36.8,45.2,27,EAST GARFIELD PARK,27,8.2,42.4,19.6,21.3,43.2,12961,83,3.0,27
230,609710,John M Harlan Community Academy High School,60628,HS,No,NDA,,NDA,,NDA,,Weak,NDA,NDA,NDA,NDA,NDA,81.20%,21.6,94.40%,47.9,55.7,49,ROSELAND,49,2.5,19.8,20.3,16.9,41.2,17949,52,2.0,49
231,609954,John Milton Gregory Elementary School,60624,ES,No,Average,44.0,Weak,39.0,Average,43.0,Weak,66,Average,59,Average,49,95.20%,3.2,94.60%,NDA,NDA,27,EAST GARFIELD PARK,27,8.2,42.4,19.6,21.3,43.2,12961,83,3.0,27
232,610180,John M Smyth Elementary School,60608,ES,No,Weak,37.0,Average,54.0,Strong,64.0,Weak,NDA,NDA,NDA,Weak,43,92.40%,20.1,93.30%,NDA,NDA,28,NEAR WEST SIDE,28,3.8,20.6,10.7,9.6,22.2,44689,15,4.0,28
233,610199,Johnnie Colemon Elementary Academy,60643,ES,No,Strong,60.0,Average,56.0,Strong,63.0,Weak,NDA,NDA,NDA,Average,53,95.90%,23.4,95.40%,NDA,NDA,53,WEST PULLMAN,53,3.3,25.9,19.4,20.5,42.1,16563,62,1.0,53
234,610111,John Palmer Elementary School,60630,ES,No,Strong,75.0,Strong,61.0,Strong,68.0,Weak,NDA,NDA,NDA,Strong,65,96.30%,12.8,94.80%,NDA,NDA,14,ALBANY PARK,14,11.3,19.2,10.0,32.9,32.0,21323,53,1.0,14
235,609775,John P Altgeld Elementary School,60636,ES,No,Average,48.0,Strong,64.0,Average,58.0,Weak,27,Weak,35,Weak,46,91.90%,32.9,95.50%,NDA,NDA,67,WEST ENGLEWOOD,67,4.8,34.4,35.9,26.3,40.7,11317,89,3.0,67
236,610184,John Spry Elementary Community School,60623,ES,No,Strong,66.0,Strong,70.0,Strong,67.0,Weak,52,Average,43,Weak,46,96.20%,5.9,97.40%,NDA,NDA,30,SOUTH LAWNDALE,30,15.2,30.7,15.8,54.8,33.8,10402,96,1.0,30
237,610269,John T McCutcheon Elementary School,60640,ES,No,Average,56.0,Strong,67.0,Average,41.0,Weak,32,Average,42,Average,52,94.00%,8.8,94.80%,NDA,NDA,3,UPTOWN,3,3.8,24.0,8.9,11.8,22.2,35787,20,4.0,3
238,610130,John T Pirie Fine Arts & Academic Center Elementary School,60619,ES,No,Weak,26.0,Strong,63.0,Strong,62.0,Weak,43,Average,46,NDA,NDA,93.50%,20.8,95.40%,NDA,NDA,44,CHATHAM,44,3.3,27.8,24.0,14.5,40.3,18881,60,1.0,44
239,609864,John W Cook Elementary School,60620,ES,No,NDA,,NDA,,NDA,,Weak,NDA,NDA,NDA,Weak,45,94.00%,26.0,94.00%,NDA,NDA,71,AUBURN GRESHAM,71,4.0,27.6,28.3,18.5,41.9,15528,74,3.0,71
240,610225,John Whistler Elementary School,60643,ES,No,Average,45.0,Average,41.0,Weak,28.0,Weak,20,Weak,21,Average,52,92.40%,11.1,97.00%,NDA,NDA,53,WEST PULLMAN,53,3.3,25.9,19.4,20.5,42.1,16563,62,1.0,53
241,609828,Jonathan Burr Elementary School,60622,ES,No,Strong,71.0,Strong,68.0,Average,51.0,Weak,53,Strong,63,Strong,56,95.90%,4.3,96.90%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
242,610159,Jonathan Y Scammon Elementary School,60641,ES,No,Average,44.0,Weak,21.0,Weak,20.0,Weak,NDA,NDA,NDA,Average,48,95.90%,8.0,95.30%,NDA,NDA,16,IRVING PARK,16,6.3,13.1,10.0,22.4,31.6,27249,34,1.0,16
243,609865,Jordan Elementary Community School,60626,ES,No,Strong,61.0,Average,57.0,Average,49.0,Weak,17,Very Weak,15,Average,52,95.60%,16.4,95.10%,NDA,NDA,1,ROGERS PARK,1,7.7,23.6,8.7,18.2,27.5,23939,39,3.0,1
244,610313,Jose De Diego Elementary Community Academy,60622,ES,Yes,Average,57.0,Weak,37.0,Average,40.0,Weak,60,Strong,64,Average,53,95.00%,29.0,96.80%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
245,609950,Josefa Ortiz De Dominguez Elementary School,60623,ES,No,NDA,,NDA,,NDA,,Weak,48,Average,54,Average,51,95.80%,3.6,97.00%,NDA,NDA,30,SOUTH LAWNDALE,30,15.2,30.7,15.8,54.8,33.8,10402,96,1.0,30
246,610242,Joseph Brennemann Elementary School,60613,ES,No,Average,50.0,Average,55.0,Average,59.0,Weak,41,Average,54,Average,53,96.50%,13.7,97.70%,NDA,NDA,3,UPTOWN,3,3.8,24.0,8.9,11.8,22.2,35787,20,4.0,3
247,609938,Joseph E Gary Elementary School,60623,ES,No,Weak,32.0,Weak,29.0,Weak,28.0,Weak,29,Very Weak,17,Weak,45,96.10%,16.8,96.20%,NDA,NDA,30,SOUTH LAWNDALE,30,15.2,30.7,15.8,54.8,33.8,10402,96,1.0,30
248,610041,Josephine C Locke Elementary School,60634,ES,No,Average,57.0,Average,49.0,Average,56.0,Weak,44,Average,45,Average,47,95.50%,2.2,95.10%,NDA,NDA,18,MONTCLARE,18,8.1,15.3,13.8,23.5,38.6,22014,50,1.0,18
249,610015,Joseph Jungman Elementary School,60608,ES,No,Weak,36.0,Average,56.0,Average,53.0,Weak,20,Average,43,Average,48,96.40%,5.3,96.30%,NDA,NDA,31,LOWER WEST SIDE,31,9.6,25.8,15.8,40.7,32.6,16444,76,3.0,31
250,609925,Joseph Kellman Corporate Community Elementary School,60612,ES,No,Average,58.0,Average,42.0,Average,45.0,Weak,37,Average,50,Strong,59,95.20%,4.4,95.80%,NDA,NDA,27,EAST GARFIELD PARK,27,8.2,42.4,19.6,21.3,43.2,12961,83,3.0,27
251,610043,Joseph Lovett Elementary School,60639,ES,No,Average,43.0,Weak,32.0,Weak,22.0,Weak,NDA,NDA,NDA,Average,49,95.40%,16.1,95.40%,NDA,NDA,25,AUSTIN,25,6.3,28.6,22.6,24.4,37.9,15957,73,11.0,25
252,610189,Joseph Stockton Elementary School,60640,ES,No,Weak,37.0,Average,51.0,Strong,68.0,Weak,NDA,NDA,NDA,NDA,NDA,94.90%,11.0,95.30%,NDA,NDA,3,UPTOWN,3,3.8,24.0,8.9,11.8,22.2,35787,20,4.0,3
253,610218,Joseph Warren Elementary School,60617,ES,No,Weak,33.0,Average,49.0,Average,40.0,Weak,NDA,NDA,NDA,Weak,46,95.00%,21.6,95.30%,NDA,NDA,48,CALUMET HEIGHTS,48,2.1,11.5,20.0,11.0,44.0,28887,38,2.0,48
254,610019,Joshua D Kershaw Elementary School,60621,ES,No,Strong,62.0,Strong,69.0,Average,56.0,Weak,50,Average,59,Strong,58,94.80%,8.2,96.00%,NDA,NDA,68,ENGLEWOOD,68,3.8,46.6,28.0,28.5,42.5,11888,94,4.0,68
255,610129,Josiah Pickard Elementary School,60608,ES,No,Average,50.0,Weak,35.0,Weak,37.0,Weak,32,Weak,34,Average,48,95.80%,5.1,96.40%,NDA,NDA,31,LOWER WEST SIDE,31,9.6,25.8,15.8,40.7,32.6,16444,76,3.0,31
256,610022,Joyce Kilmer Elementary School,60626,ES,No,NDA,,NDA,,NDA,,Weak,43,Average,42,Average,49,96.00%,15.6,96.90%,NDA,NDA,1,ROGERS PARK,1,7.7,23.6,8.7,18.2,27.5,23939,39,3.0,1
257,610253,Julia C Lathrop Elementary School,60623,ES,No,Strong,67.0,Average,58.0,Weak,26.0,Weak,NDA,NDA,NDA,Weak,40,90.50%,113.5,95.50%,NDA,NDA,29,NORTH LAWNDALE,29,7.4,43.1,21.2,27.6,42.7,12034,87,6.0,29
258,610000,Julia Ward Howe Elementary School of Excellence,60644,ES,No,Strong,67.0,Very Strong,90.0,Strong,69.0,Weak,59,Strong,67,Strong,57,96.00%,7.7,97.10%,NDA,NDA,25,AUSTIN,25,6.3,28.6,22.6,24.4,37.9,15957,73,11.0,25
259,610280,Kate S Buckingham Special Education Center,60617,ES,No,Weak,31.0,Weak,24.0,Weak,20.0,Weak,NDA,NDA,NDA,NDA,NDA,83.40%,116.9,94.40%,NDA,NDA,48,CALUMET HEIGHTS,48,2.1,11.5,20.0,11.0,44.0,28887,38,2.0,48
260,610395,Pershing West Middle School,60616,MS,No,Average,46.0,Weak,34.0,Average,55.0,Weak,76,Average,58,NDA,NDA,96.20%,3.7,97.60%,NDA,NDA,35,DOUGLAS,35,1.8,29.6,18.2,14.3,30.7,23791,47,3.0,35
261,609716,Kelvyn Park High School,60639,HS,No,Weak,32.0,Weak,32.0,Weak,28.0,Weak,19,Average,43,NDA,NDA,74.40%,12.9,94.50%,54.1,35,20,HERMOSA,20,6.9,20.5,13.1,41.6,36.4,15089,71,1.0,20
262,609719,Lake View High School,60613,HS,No,Strong,64.0,Average,52.0,Average,43.0,Weak,NDA,NDA,NDA,Average,49,87.70%,8.5,96.20%,81.4,62.8,6,LAKE VIEW,6,1.1,11.4,4.7,2.6,17.0,60058,5,3.0,6
263,610368,Langston Hughes Elementary School,60628,ES,No,Weak,28.0,Very Weak,16.0,Weak,30.0,Weak,62,Average,48,Weak,46,90.00%,27.5,95.50%,NDA,NDA,49,ROSELAND,49,2.5,19.8,20.3,16.9,41.2,17949,52,2.0,49
264,610033,LaSalle Elementary Language Academy,60614,ES,No,Very Strong,99.0,Strong,62.0,Average,52.0,Weak,39,Average,43,Average,53,96.80%,7.0,97.60%,NDA,NDA,7,LINCOLN PARK,7,0.8,12.3,5.1,3.6,21.5,71551,2,3.0,7
265,610520,LaSalle II Magnet Elementary School,60622,ES,No,Strong,66.0,Weak,36.0,Average,52.0,Weak,83,Strong,79,Strong,55,95.10%,5.6,94.80%,NDA,NDA,24,WEST TOWN,24,2.3,14.7,6.6,12.9,21.7,43198,10,3.0,24
266,609910,Laughlin Falconer Elementary School,60641,ES,No,Average,54.0,Average,48.0,Weak,27.0,Weak,22,Weak,30,Average,49,96.10%,5.7,97.00%,NDA,NDA,19,BELMONT CRAGIN,19,10.8,18.7,14.6,37.3,37.3,15461,70,1.0,19
267,610133,Laura S Ward Elementary School,60624,ES,No,NDA,,NDA,,NDA,,Weak,NDA,NDA,NDA,NDA,NDA,92.90%,3.9,97.50%,NDA,NDA,23,HUMBOLDT PARK,23,14.8,33.9,17.3,35.4,38.0,13781,85,7.0,23
268,610034,Lawndale Elementary Community Academy,60623,ES,No,NDA,,NDA,,NDA,,Weak,NDA,NDA,NDA,NDA,NDA,91.00%,18.8,94.80%,NDA,NDA,29,NORTH LAWNDALE,29,7.4,43.1,21.2,27.6,42.7,12034,87,6.0,29
269,610024,Lazaro Cardenas Elementary School,60623,ES,No,NDA,,NDA,,NDA,,Weak,62,Average,58,Average,52,96.30%,3.2,98.50%,NDA,NDA,30,SOUTH LAWNDALE,30,15.2,30.7,15.8,54.8,33.8,10402,96,1.0,30
270,609907,Leif Ericson Elementary Scholastic Academy,60624,ES,No,Weak,33.0,Average,49.0,Average,52.0,Weak,NDA,NDA,NDA,Weak,45,94.70%,20.8,95.10%,NDA,NDA,27,EAST GARFIELD PARK,27,8.2,42.4,19.6,21.3,43.2,12961,83,3.0,27
271,610298,Lenart Elementary Regional Gifted Center,60620,ES,No,Strong,79.0,Average,51.0,Strong,67.0,Weak,50,Strong,63,Average,52,97.40%,0.3,97.80%,NDA,NDA,44,CHATHAM,44,3.3,27.8,24.0,14.5,40.3,18881,60,1.0,44
272,610036,Leslie Lewis Elementary School,60651,ES,No,Weak,21.0,Weak,36.0,Strong,64.0,Weak,30,Average,48,Weak,42,91.80%,37.7,95.30%,NDA,NDA,25,AUSTIN,25,6.3,28.6,22.6,24.4,37.9,15957,73,11.0,25
